#,Company name,Job,Technology or skill
1,QUICKINFOTECH PVT LTD,Android App Developer,Security
1,QUICKINFOTECH PVT LTD,Android App Developer,Performance
1,QUICKINFOTECH PVT LTD,Android App Developer,scalablility
1,QUICKINFOTECH PVT LTD,Android App Developer,usability
1,QUICKINFOTECH PVT LTD,Android App Developer,communication
1,QUICKINFOTECH PVT LTD,Android App Developer,Location Based Services
1,QUICKINFOTECH PVT LTD,Android App Developer,REST Web Services Integration
1,QUICKINFOTECH PVT LTD,Android App Developer,GCM
1,QUICKINFOTECH PVT LTD,Android App Developer,Push Notification
1,QUICKINFOTECH PVT LTD,Android App Developer,Battery Optimization
1,QUICKINFOTECH PVT LTD,Android App Developer,memory management
1,QUICKINFOTECH PVT LTD,Android App Developer,resource optimizations
1,QUICKINFOTECH PVT LTD,Android App Developer,Android automation
1,QUICKINFOTECH PVT LTD,Android App Developer,unit testing
1,QUICKINFOTECH PVT LTD,Android App Developer,mentor skill
1,QUICKINFOTECH PVT LTD,Android App Developer,MySQL
1,QUICKINFOTECH PVT LTD,Android App Developer,data structures
1,QUICKINFOTECH PVT LTD,Android App Developer,algorithms
1,QUICKINFOTECH PVT LTD,Android App Developer,software design
1,QUICKINFOTECH PVT LTD,Android App Developer,Agile
1,QUICKINFOTECH PVT LTD,Android App Developer,work under pressure
1,QUICKINFOTECH PVT LTD,Android App Developer,UI design
1,QUICKINFOTECH PVT LTD,Android App Developer,Releasing android apps to google play store 
1,QUICKINFOTECH PVT LTD,Android App Developer,Android SDK
1,QUICKINFOTECH PVT LTD,Android App Developer,code reviews
1,QUICKINFOTECH PVT LTD,Android App Developer,test automation
1,QUICKINFOTECH PVT LTD,Android App Developer,Collaboration
2,New World Management,Android Developer,Collaboration
2,New World Management,Android Developer,design
2,New World Management,Android Developer,implementation
2,New World Management,Android Developer,development best practices
2,New World Management,Android Developer,Troubleshoot
2,New World Management,Android Developer,testing
2,New World Management,Android Developer,documentation
2,New World Management,Android Developer,performance
2,New World Management,Android Developer,user experience
2,New World Management,Android Developer,responsiveness
2,New World Management,Android Developer,Releasing android apps to google play store 
2,New World Management,Android Developer,Zebra devices
2,New World Management,Android Developer,Java
2,New World Management,Android Developer,Kotlin
2,New World Management,Android Developer,Android Studio
2,New World Management,Android Developer,Gradle
2,New World Management,Android Developer,Git
2,New World Management,Android Developer,problem-solving
2,New World Management,Android Developer,attention to detail
2,New World Management,Android Developer,communication
2,New World Management,Android Developer,manage multiple tasks
2,New World Management,Android Developer,retail
2,New World Management,Android Developer,e-commerce
2,New World Management,Android Developer,Agile
3,Jobs via eFinancialCareers,Android Developer,Collaboration
3,Jobs via eFinancialCareers,Android Developer,planning
3,Jobs via eFinancialCareers,Android Developer,reuse open source projects
3,Jobs via eFinancialCareers,Android Developer,Write clean code
3,Jobs via eFinancialCareers,Android Developer,development best practices
3,Jobs via eFinancialCareers,Android Developer,audit
3,Jobs via eFinancialCareers,Android Developer,sonar scan
3,Jobs via eFinancialCareers,Android Developer,Agile
3,Jobs via eFinancialCareers,Android Developer,mentoring
3,Jobs via eFinancialCareers,Android Developer,learning
3,Jobs via eFinancialCareers,Android Developer,robustness
3,Jobs via eFinancialCareers,Android Developer,security
3,Jobs via eFinancialCareers,Android Developer,Swift
3,Jobs via eFinancialCareers,Android Developer,Kotlin
3,Jobs via eFinancialCareers,Android Developer,mobile application design
3,Jobs via eFinancialCareers,Android Developer,development best practices
3,Jobs via eFinancialCareers,Android Developer,RESTful APIs
3,Jobs via eFinancialCareers,Android Developer,.NET
3,Jobs via eFinancialCareers,Android Developer,JAVA
3,Jobs via eFinancialCareers,Android Developer,NodeJS
3,Jobs via eFinancialCareers,Android Developer,iOS
3,Jobs via eFinancialCareers,Android Developer,Redux
3,Jobs via eFinancialCareers,Android Developer,JIRA
3,Jobs via eFinancialCareers,Android Developer,BitBucket
3,Jobs via eFinancialCareers,Android Developer,Confluence
3,Jobs via eFinancialCareers,Android Developer,CI/CD
3,Jobs via eFinancialCareers,Android Developer,Bamboo
3,Jobs via eFinancialCareers,Android Developer,exposure
3,Jobs via eFinancialCareers,Android Developer,testing automation
3,Jobs via eFinancialCareers,Android Developer,user experience
3,Jobs via eFinancialCareers,Android Developer,reusability
3,Jobs via eFinancialCareers,Android Developer,scalability
3,Jobs via eFinancialCareers,Android Developer,design patterns
3,Jobs via eFinancialCareers,Android Developer,concurrency
3,Jobs via eFinancialCareers,Android Developer,performance
3,Jobs via eFinancialCareers,Android Developer,communication
3,Jobs via eFinancialCareers,Android Developer,presentation
4,Luxury Escapes,Senior Android Developer,Kotlin
4,Luxury Escapes,Senior Android Developer,Jetpack
4,Luxury Escapes,Senior Android Developer,Automated testing
4,Luxury Escapes,Senior Android Developer,Attention to detail
4,Luxury Escapes,Senior Android Developer,problem-solving
4,Luxury Escapes,Senior Android Developer,Agile
5,Concentrix,Software Engineer - Android,development best practices
5,Concentrix,Software Engineer - Android,Collaboration
5,Concentrix,Software Engineer - Android,Write clean code
5,Concentrix,Software Engineer - Android,maintainability
5,Concentrix,Software Engineer - Android,reusability
5,Concentrix,Software Engineer - Android,Kotlin
5,Concentrix,Software Engineer - Android,Jetpack
5,Concentrix,Software Engineer - Android,Android Architecture Components
5,Concentrix,Software Engineer - Android,iOS
5,Concentrix,Software Engineer - Android,.NET
5,Concentrix,Software Engineer - Android,AWS
5,Concentrix,Software Engineer - Android,Azure
5,Concentrix,Software Engineer - Android,React Native
5,Concentrix,Software Engineer - Android,troubleshooting
5,Concentrix,Software Engineer - Android,root cause analysis
5,Concentrix,Software Engineer - Android,wearables
5,Concentrix,Software Engineer - Android,VR/AR
5,Concentrix,Software Engineer - Android,IoT devices
5,Concentrix,Software Engineer - Android,2+
5,Concentrix,Software Engineer - Android,design
5,Concentrix,Software Engineer - Android,implementation
5,Concentrix,Software Engineer - Android,communication
5,Concentrix,Software Engineer - Android,business requirements
5,Concentrix,Software Engineer - Android,proactive spirit
5,Concentrix,Software Engineer - Android,continuously improving your skills
5,Concentrix,Software Engineer - Android,Git
5,Concentrix,Software Engineer - Android,user-centred design
5,Concentrix,Software Engineer - Android,Continuous Integration (CI)
5,Concentrix,Software Engineer - Android,testablity
5,Concentrix,Software Engineer - Android,Unit Testing
5,Concentrix,Software Engineer - Android,Agile
5,Concentrix,Software Engineer - Android,Scrum
5,Concentrix,Software Engineer - Android,Kanban
6,Monash University,Senior Mobile Developer,"Integrating Third Party libraries, APIs and SDKs"
6,Monash University,Senior Mobile Developer,Define technical requirements for user stories
6,Monash University,Senior Mobile Developer,performance
6,Monash University,Senior Mobile Developer,scalability
6,Monash University,Senior Mobile Developer,mentoring
6,Monash University,Senior Mobile Developer,problem-solving
6,Monash University,Senior Mobile Developer,Kotlin
6,Monash University,Senior Mobile Developer,Android development
6,Monash University,Senior Mobile Developer,Administrative experience
7,WooliesX,Senior Android Engineer,UI design
7,WooliesX,Senior Android Engineer,Android sdk
7,WooliesX,Senior Android Engineer,Android development
7,WooliesX,Senior Android Engineer,development best practices
7,WooliesX,Senior Android Engineer,Unit Testing
7,WooliesX,Senior Android Engineer,robustness
7,WooliesX,Senior Android Engineer,usability
7,WooliesX,Senior Android Engineer,reliability
7,WooliesX,Senior Android Engineer,SDLC
7,WooliesX,Senior Android Engineer,Agile
7,WooliesX,Senior Android Engineer,teamwork
7,WooliesX,Senior Android Engineer,automated testing
7,WooliesX,Senior Android Engineer,5+
7,WooliesX,Senior Android Engineer,Jetpack
7,WooliesX,Senior Android Engineer,MVVM
7,WooliesX,Senior Android Engineer,Android design principles
7,WooliesX,Senior Android Engineer,interface guidelines
7,WooliesX,Senior Android Engineer,API design
7,WooliesX,Senior Android Engineer,UI test
7,WooliesX,Senior Android Engineer,collaboration
8,CodeMaya,Android Developer,Design
8,CodeMaya,Android Developer,software testing
8,CodeMaya,Android Developer,Java
8,CodeMaya,Android Developer,Android SDK
8,CodeMaya,Android Developer,bug fixes
8,CodeMaya,Android Developer,write tests
8,CodeMaya,Android Developer,software architecture
8,CodeMaya,Android Developer,technical documentation
8,CodeMaya,Android Developer,Unit testing
8,CodeMaya,Android Developer,robustness
8,CodeMaya,Android Developer,usability
8,CodeMaya,Android Developer,reliability
8,CodeMaya,Android Developer,3+
8,CodeMaya,Android Developer,mobile development life cycle
8,CodeMaya,Android Developer,Android SDK
8,CodeMaya,Android Developer,"Activities, Fragments, Intents, Layouts"
8,CodeMaya,Android Developer,design patterns
8,CodeMaya,Android Developer,REST
8,CodeMaya,Android Developer,JSON
8,CodeMaya,Android Developer,XML
8,CodeMaya,Android Developer,Web services
8,CodeMaya,Android Developer,JQuery
8,CodeMaya,Android Developer,XSLT
8,CodeMaya,Android Developer,"Integrating Third Party libraries, APIs and SDKs"
9,Pyramid Global Technologies,Android Developer,Android SDK
9,Pyramid Global Technologies,Android Developer,Kotlin
9,Pyramid Global Technologies,Android Developer,Java
9,Pyramid Global Technologies,Android Developer,debugging
9,Pyramid Global Technologies,Android Developer,software testing
9,Pyramid Global Technologies,Android Developer,Robolectric
9,Pyramid Global Technologies,Android Developer,Cucumber
9,Pyramid Global Technologies,Android Developer,Calabash-android
10,Medibank,Senior Android Engineer,SDLC
10,Medibank,Senior Android Engineer,Collaboration
10,Medibank,Senior Android Engineer,teamwork
10,Medibank,Senior Android Engineer,troubleshooting
10,Medibank,Senior Android Engineer,code reviews
10,Medibank,Senior Android Engineer,documentation
10,Medibank,Senior Android Engineer,Security
10,Medibank,Senior Android Engineer,Kotlin
10,Medibank,Senior Android Engineer,design patterns
10,Medibank,Senior Android Engineer,MVVM
10,Medibank,Senior Android Engineer,MVP
10,Medibank,Senior Android Engineer,clean code
10,Medibank,Senior Android Engineer,coroutines
10,Medibank,Senior Android Engineer,agile
10,Medibank,Senior Android Engineer,Scrum
10,Medibank,Senior Android Engineer,Kanban
10,Medibank,Senior Android Engineer,TDD
10,Medibank,Senior Android Engineer,CI/CD
10,Medibank,Senior Android Engineer,Jetpack
10,Medibank,Senior Android Engineer,RESTful API
10,Medibank,Senior Android Engineer,Material Design
10,Medibank,Senior Android Engineer,UX Principles
11,CareCone Australia,Android Developer,Kotlin
11,CareCone Australia,Android Developer,management reports
11,CareCone Australia,Android Developer,bug fixes
11,CareCone Australia,Android Developer,performance
11,CareCone Australia,Android Developer,teamwork
11,CareCone Australia,Android Developer,reusability
11,CareCone Australia,Android Developer,Unit testing
11,CareCone Australia,Android Developer,reliablility
11,CareCone Australia,Android Developer,UX
11,CareCone Australia,Android Developer,Collaboration
11,CareCone Australia,Android Developer,security
11,CareCone Australia,Android Developer,UI
11,CareCone Australia,Android Developer,memory leaks
11,CareCone Australia,Android Developer,Write tests
12,Vibidsoft,Android Developer,Design
12,Vibidsoft,Android Developer,Collaboration
12,Vibidsoft,Android Developer,Unit testing
12,Vibidsoft,Android Developer,robustness
12,Vibidsoft,Android Developer,usability
12,Vibidsoft,Android Developer,reliability
12,Vibidsoft,Android Developer,bug fixes
12,Vibidsoft,Android Developer,performance
12,Vibidsoft,Android Developer,1+
12,Vibidsoft,Android Developer,Releasing android apps to google play store 
12,Vibidsoft,Android Developer,Android SDK
12,Vibidsoft,Android Developer,REST
12,Vibidsoft,Android Developer,JSON
12,Vibidsoft,Android Developer,"Integrating Third Party libraries, APIs and SDKs"
12,Vibidsoft,Android Developer,SDLC
13,Lumin,Experienced Android Developer,collaboration
13,Lumin,Experienced Android Developer,teamwork
13,Lumin,Experienced Android Developer,Kotlin
13,Lumin,Experienced Android Developer,Coroutines
13,Lumin,Experienced Android Developer,Jetpack
13,Lumin,Experienced Android Developer,OkHttp
13,Lumin,Experienced Android Developer,Retrofit
13,Lumin,Experienced Android Developer,Moshi
13,Lumin,Experienced Android Developer,Dagger
13,Lumin,Experienced Android Developer,Room
13,Lumin,Experienced Android Developer,Android testing frameworks
13,Lumin,Experienced Android Developer,REST 
13,Lumin,Experienced Android Developer,Graphql
13,Lumin,Experienced Android Developer,IOS
14,M3DICINE,Android Developer,UI/UX
14,M3DICINE,Android Developer,TDD
14,M3DICINE,Android Developer,communication
14,M3DICINE,Android Developer,Agile
14,M3DICINE,Android Developer,robustness
14,M3DICINE,Android Developer,reliability
14,M3DICINE,Android Developer,bug fixes
14,M3DICINE,Android Developer,performance
14,M3DICINE,Android Developer,development best practices
14,M3DICINE,Android Developer,maintain test documentation
14,M3DICINE,Android Developer,debugging
14,M3DICINE,Android Developer,design
14,M3DICINE,Android Developer,testing
14,M3DICINE,Android Developer,object-oriented programming
14,M3DICINE,Android Developer,audio file
14,M3DICINE,Android Developer,medical device
14,M3DICINE,Android Developer,aviation
14,M3DICINE,Android Developer,attention to detail
14,M3DICINE,Android Developer,written documentation
14,M3DICINE,Android Developer,learn quickly
14,M3DICINE,Android Developer,code review
14,M3DICINE,Android Developer,teamwork
14,M3DICINE,Android Developer,agile
15,Davidson,Senior Android Engineer,Kotlin
15,Davidson,Senior Android Engineer,RxJava
15,Davidson,Senior Android Engineer,Retrofit
15,Davidson,Senior Android Engineer,dependency injection
15,Davidson,Senior Android Engineer,automated testing
15,Davidson,Senior Android Engineer,Unit testing
15,Davidson,Senior Android Engineer,UI testing
15,Davidson,Senior Android Engineer,Android design principles
15,Davidson,Senior Android Engineer,interface guidelines
15,Davidson,Senior Android Engineer,communication
15,Davidson,Senior Android Engineer,RESTful APIs
15,Davidson,Senior Android Engineer,"Integrating Third Party libraries, APIs and SDKs"
15,Davidson,Senior Android Engineer,agile
15,Davidson,Senior Android Engineer,coroutines
15,Davidson,Senior Android Engineer,navigation components
15,Davidson,Senior Android Engineer,self-development
16,Swift Networks,Senior Android Engineer,maintenance
16,Swift Networks,Senior Android Engineer,development of test suites
16,Swift Networks,Senior Android Engineer,test documentation
16,Swift Networks,Senior Android Engineer,Mentor
16,Swift Networks,Senior Android Engineer,3+
16,Swift Networks,Senior Android Engineer,Java
16,Swift Networks,Senior Android Engineer,Kotlin
16,Swift Networks,Senior Android Engineer,video playback
16,Swift Networks,Senior Android Engineer,test automation
16,Swift Networks,Senior Android Engineer,RESTful APIs
16,Swift Networks,Senior Android Engineer,JSON
16,Swift Networks,Senior Android Engineer,Releasing android apps to google play store 
16,Swift Networks,Senior Android Engineer,CI/CD
16,Swift Networks,Senior Android Engineer,git
16,Swift Networks,Senior Android Engineer,Agile
16,Swift Networks,Senior Android Engineer,Flutter
16,Swift Networks,Senior Android Engineer,teamwork
16,Swift Networks,Senior Android Engineer,Jetpack
16,Swift Networks,Senior Android Engineer,TV
16,Swift Networks,Senior Android Engineer,Coroutines
17,Duress,Android Developer,AI
17,Duress,Android Developer,teamwork
17,Duress,Android Developer,performance
17,Duress,Android Developer,security
17,Duress,Android Developer,reliability
17,Duress,Android Developer,safety
17,Duress,Android Developer,3+
17,Duress,Android Developer,machine learning
17,Duress,Android Developer,video/audio streaming
17,Duress,Android Developer,real-time communication
17,Duress,Android Developer,problem-solving
17,Duress,Android Developer,computer vision
17,Duress,Android Developer,NLP
17,Duress,Android Developer,OpenCV
17,Duress,Android Developer,Android system-privilege
17,Duress,Android Developer,device management
18,Sonder,Android Engineer,software testing
18,Sonder,Android Engineer,code review
18,Sonder,Android Engineer,design
18,Sonder,Android Engineer,specification
18,Sonder,Android Engineer,implementation
18,Sonder,Android Engineer,iterative development
18,Sonder,Android Engineer,requirements analysis
18,Sonder,Android Engineer,performance
18,Sonder,Android Engineer,Collaboration
18,Sonder,Android Engineer,Mentoring
18,Sonder,Android Engineer,3+
18,Sonder,Android Engineer,Android SDK
18,Sonder,Android Engineer,Jetpack
18,Sonder,Android Engineer,Material Design
18,Sonder,Android Engineer,Coroutines
18,Sonder,Android Engineer,Flow
18,Sonder,Android Engineer,MVVM 
18,Sonder,Android Engineer,Clean Architecture
18,Sonder,Android Engineer,RESTful APIs
18,Sonder,Android Engineer,networking libraries
18,Sonder,Android Engineer,Retrofit
18,Sonder,Android Engineer,Firebase
18,Sonder,Android Engineer,location-based features
18,Sonder,Android Engineer,Unit testing
18,Sonder,Android Engineer,UI testing
18,Sonder,Android Engineer,JUnit
18,Sonder,Android Engineer,Espresso
18,Sonder,Android Engineer,Releasing android apps to google play store 
18,Sonder,Android Engineer,learning
18,Sonder,Android Engineer,CI/CD
18,Sonder,Android Engineer,git
18,Sonder,Android Engineer,Kotlin
18,Sonder,Android Engineer,Java
18,Sonder,Android Engineer,architectural patterns
18,Sonder,Android Engineer,Jetpack 
18,Sonder,Android Engineer,problem-solving
19,Snaphunt,Android Developer,Design
19,Snaphunt,Android Developer,Collaboration
19,Snaphunt,Android Developer,"Integrating Third Party libraries, APIs and SDKs"
19,Snaphunt,Android Developer,Unit testing
19,Snaphunt,Android Developer,robustness
19,Snaphunt,Android Developer,usability
19,Snaphunt,Android Developer,reliability
19,Snaphunt,Android Developer,bug fixes
19,Snaphunt,Android Developer,performance
19,Snaphunt,Android Developer,3+
19,Snaphunt,Android Developer,Releasing android apps to google play store 
19,Snaphunt,Android Developer,Android SDK
19,Snaphunt,Android Developer,REST
19,Snaphunt,Android Developer,JSON
19,Snaphunt,Android Developer,mobile development life cycle
20,TikTok,Android Software Engineer,Java
20,TikTok,Android Software Engineer,Kotlin
20,TikTok,Android Software Engineer,debugging
20,TikTok,Android Software Engineer,communication
20,TikTok,Android Software Engineer,collaboration
20,TikTok,Android Software Engineer,robustness
20,TikTok,Android Software Engineer,maintainablility
20,TikTok,Android Software Engineer,clear documentation
20,TikTok,Android Software Engineer,Livestream knowledge
21,Qantas Airways,Senior Software Engineer - Android,Kotlin
21,Qantas Airways,Senior Software Engineer - Android,Android SDK
21,Qantas Airways,Senior Software Engineer - Android,offline storage
21,Qantas Airways,Senior Software Engineer - Android,threading
21,Qantas Airways,Senior Software Engineer - Android,performance tuning
21,Qantas Airways,Senior Software Engineer - Android,RESTful APIs
21,Qantas Airways,Senior Software Engineer - Android,integrating back-end services
21,Qantas Airways,Senior Software Engineer - Android,web technologies
21,Qantas Airways,Senior Software Engineer - Android,UI/UX standards
21,Qantas Airways,Senior Software Engineer - Android,MVVM
21,Qantas Airways,Senior Software Engineer - Android,Android design principles
21,Qantas Airways,Senior Software Engineer - Android,interface guidelines
21,Qantas Airways,Senior Software Engineer - Android,API design
21,Qantas Airways,Senior Software Engineer - Android,Unit tests
21,Qantas Airways,Senior Software Engineer - Android,UI tests
21,Qantas Airways,Senior Software Engineer - Android,Jetpack
21,Qantas Airways,Senior Software Engineer - Android,microservices architecture
21,Qantas Airways,Senior Software Engineer - Android,Spring Boot
21,Qantas Airways,Senior Software Engineer - Android,Ktor
21,Qantas Airways,Senior Software Engineer - Android,CI/CD
22,Westpac Bank,Android Developer,Collaboration
22,Westpac Bank,Android Developer,teamwork
22,Westpac Bank,Android Developer,reuse of shared components
22,Westpac Bank,Android Developer,CI/CD
22,Westpac Bank,Android Developer,clean code
22,Westpac Bank,Android Developer,development best practices
22,Westpac Bank,Android Developer,audit
22,Westpac Bank,Android Developer,sonar scan
22,Westpac Bank,Android Developer,Agile
22,Westpac Bank,Android Developer,mentoring
22,Westpac Bank,Android Developer,robustness
22,Westpac Bank,Android Developer,Swift
22,Westpac Bank,Android Developer,Kotlin
22,Westpac Bank,Android Developer,mobile application design
22,Westpac Bank,Android Developer,RESTful APIs
22,Westpac Bank,Android Developer,.NET
22,Westpac Bank,Android Developer,JAVA
22,Westpac Bank,Android Developer,NodeJS 
22,Westpac Bank,Android Developer,iOS
22,Westpac Bank,Android Developer,Redux
22,Westpac Bank,Android Developer,JIRA
22,Westpac Bank,Android Developer,BitBucket
22,Westpac Bank,Android Developer,Confluence
22,Westpac Bank,Android Developer,Bamboo
22,Westpac Bank,Android Developer,test automation
22,Westpac Bank,Android Developer,reusability
22,Westpac Bank,Android Developer,scalability
22,Westpac Bank,Android Developer,design patterns
22,Westpac Bank,Android Developer,concurrency
22,Westpac Bank,Android Developer,performance
22,Westpac Bank,Android Developer,communication
23,Aurec Group,Mobile Engineer - Android Developer,4+
23,Aurec Group,Mobile Engineer - Android Developer,Agile
23,Aurec Group,Mobile Engineer - Android Developer,CI/CD
23,Aurec Group,Mobile Engineer - Android Developer,Git
23,Aurec Group,Mobile Engineer - Android Developer,Kotlin
23,Aurec Group,Mobile Engineer - Android Developer,Java
23,Aurec Group,Mobile Engineer - Android Developer,Android SDK
23,Aurec Group,Mobile Engineer - Android Developer,MVVM 
23,Aurec Group,Mobile Engineer - Android Developer,MVP
23,Aurec Group,Mobile Engineer - Android Developer,development best practices
23,Aurec Group,Mobile Engineer - Android Developer,Collaboration
23,Aurec Group,Mobile Engineer - Android Developer,teamwork
24,On-Hire,Android/Kotlin Developer,Java
24,On-Hire,Android/Kotlin Developer,J2EE
24,On-Hire,Android/Kotlin Developer,Kotlin
24,On-Hire,Android/Kotlin Developer,unit testing
24,On-Hire,Android/Kotlin Developer,preparing documentation
24,On-Hire,Android/Kotlin Developer,Design
24,On-Hire,Android/Kotlin Developer,Releasing android apps to google play store 
24,On-Hire,Android/Kotlin Developer,delivery estimates
24,On-Hire,Android/Kotlin Developer,teamwork
24,On-Hire,Android/Kotlin Developer,problem-solving
24,On-Hire,Android/Kotlin Developer,Android SDK
24,On-Hire,Android/Kotlin Developer,Native development
24,On-Hire,Android/Kotlin Developer,UI
24,On-Hire,Android/Kotlin Developer,JSON
24,On-Hire,Android/Kotlin Developer,OAuth
24,On-Hire,Android/Kotlin Developer,Social Sharing
24,On-Hire,Android/Kotlin Developer,Email Integration
24,On-Hire,Android/Kotlin Developer,GPS/Google API
24,On-Hire,Android/Kotlin Developer,Groovy
24,On-Hire,Android/Kotlin Developer,SQLite
24,On-Hire,Android/Kotlin Developer,REST services
24,On-Hire,Android/Kotlin Developer,Web services
24,On-Hire,Android/Kotlin Developer,Git
25,eTeam,Android developer,5+
25,eTeam,Android developer,Kotlin
25,eTeam,Android developer,Java
25,eTeam,Android developer,Retrofit
25,eTeam,Android developer,Jetpack
25,eTeam,Android developer,Navigation
25,eTeam,Android developer,Accessibility
25,eTeam,Android developer,MVVM
25,eTeam,Android developer,debugging
